source,text,label,n_labels
tricky,"В торговом центре открылся салон «Анна», специализирующийся на вечерних платьях.",[],0
tricky,"Поставку мебели задержал завод «Орлов», о чем указано в сопроводительном письме.",[],0
tricky,В договоре упоминается фабрика «Соколов» как изготовитель ювелирной продукции.,[],0
tricky,На витрине был размещен логотип магазина «Егоров» без указания владельца.,[],0
tricky,"Для рекламной кампании выбрали бренд «Павлов», уже известный на региональном рынке.",[],0
tricky,Жалоба касается работы салона красоты «Мария» на первом этаже бизнес-центра.,[],0
tricky,"В заявке на поставку значится ресторан «У Петрова», расположенный возле вокзала.",[],0
tricky,В отчете о закупках фигурирует серия бытовой техники «Николаев».,[],0
tricky,"Пользователь оставил отзыв о кафе «Ольга», не уточняя адрес заведения.",[],0
tricky,В рекламном буклете указан магазин обуви «Александра» в новом торговом квартале.,[],0
tricky,Переулок Крылова был временно перекрыт из-за дорожных работ.,[],0
tricky,"В карточке объекта указан бульвар Толстого, корпус 2, помещение 18.",[],0
tricky,Курьер не смог найти вход со стороны площади Ильича.,[],0
tricky,Поставка должна быть выполнена на склад у набережной Гоголя.,[],0
tricky,"В описании маршрута упоминается шоссе Тургенева, а не фамилия сотрудника.",[],0
tricky,В справке фигурирует улица Лермонтова.,[],0
tricky,Машина была припаркована у Кутузовского проспекта рядом с аркой.,[],0
tricky,В анкете доставки указан адрес рядом с площадью Некрасова.,[],0
tricky,"Склад находится в конце переулка Белинского, за серым зданием.",[],0
tricky,В путевом листе отмечен выезд на площадь Гагарина без остановок.,[],0
tricky,Клиент выбрал кухонную линию «Татьяна» в цвете графит.,[],0
tricky,В прайс-листе отдельно выделен диван «Елена» с механизмом трансформации.,[],0
tricky,"Заказ оформлен на торт «Медовик Петровский», а не на человека с такой фамилией.",[],0
tricky,В меню бизнес-ланча добавили сет «Иванов» и суп дня.,[],0
tricky,Для офиса закупили кресла модели «Лев Толстой» из новой коллекции.,[],0
tricky,В системе скидок участвует тариф «Петрович» для корпоративных клиентов.,[],0
tricky,"В документации встречается проект «Смирнов», связанный с модернизацией склада.",[],0
tricky,На баннере у входа рекламировалась линейка косметики «Романова».,[],0
tricky,В карточке товара указана серия светильников «Абрамов» с тремя режимами яркости.,[],0
tricky,"Слово «Соколов» в этом фрагменте относится к бренду украшений, а не к человеку.",[],0
tricky,"Обсуждение касалось жилого комплекса «Ломоносов», а не ученого Ломоносова.",[],0
tricky,"В счете на оплату фигурирует подрядчик ООО «Антонов», где название используется как фирменное обозначение.",[],0
tricky,"Внутренний портал перевели на платформу «Захаров», хотя это лишь кодовое имя проекта.",[],0
tricky,"Посетители часто путают ресторан «У Ильича» с упоминанием конкретного лица, хотя это только название заведения.",[],0
tricky,"В системе указан артикул 9261234567, используемый для идентификации товара.",[],0
tricky,Код заказа 8 926 123 45 67 был сформирован автоматически при оформлении.,"[[11, 26, ""ID""]]",1
tricky,Клиент указал индекс 1250584 в форме доставки.,"[[21, 28, ""ID""]]",1
tricky,В документах фигурирует номер договора 926-123-45-67.,"[[39, 52, ""ID""]]",1
tricky,"Для поиска используется внутренний код товара 926123-45-67, а не телефон.","[[46, 58, ""ID""]]",1
tricky,В отчете приведён диапазон значений 9261234500–9261234599.,[],0
tricky,"В карточке заказа указан код 926 123 45 67, относящийся к партии товара.","[[29, 42, ""ID""]]",1
tricky,Номер счёта 84951234567 указан в реквизитах организации.,"[[12, 23, ""ID""]]",1
tricky,"В спецификации значится артикул 79261234567, используемый в каталоге.",[],0
tricky,Код заявки 4951234567 не является контактным номером.,"[[11, 21, ""ID""]]",1
tricky,В системе учёта используется диапазон кодов (495)1234560 — (495)1234570.,[],0
tricky,Индекс отправления 926123456 был указан без ошибок.,"[[19, 28, ""ID""]]",1
tricky,"В таблице указан внутренний идентификатор 8-495-123-45-67, закреплённый за товаром.","[[42, 57, ""ID""]]",1
tricky,Номер договора №9261234567 используется для внутреннего учёта.,"[[16, 26, ""ID""]]",1
tricky,"В форме возврата указан код товара 926.123.45.67, а не телефонный номер.","[[35, 48, ""ID""]]",1
tricky,"В базе хранится артикул (495)1234567, связанный с данной моделью.",[],0
tricky,Код операции 74951234567 используется только для обработки транзакций.,"[[13, 24, ""ID""]]",1
tricky,"В отчёте указан диапазон значений 123-45-67 / 68 / 69, относящийся к партиям.",[],0
tricky,В системе складского учета используется номер 926-123-4567 как идентификатор.,"[[46, 58, ""ID""]]",1
tricky,"В документах указан внутренний код 89261234567, присвоенный товару.","[[35, 46, ""ID""]]",1
tricky,Номер счёта 9261234567 был введён вручную оператором.,"[[12, 22, ""ID""]]",1
tricky,"В заявке фигурирует код заказа 74951234567, который не используется для связи.","[[31, 42, ""ID""]]",1
tricky,"В системе указан логин ivanov, который используется для входа в личный кабинет.",[],0
tricky,"Пользователь оставил ник petrov_1990, не привязанный к почтовому ящику.",[],0
tricky,"В настройках указан домен mail.ru, используемый для корпоративной почты.",[],0
tricky,"Для отправки уведомлений используется домен company.ru, без указания конкретного адреса.",[],0
tricky,"В инструкции встречается символ @, используемый для обозначения переменных.",[],0
tricky,"В тексте ошибки указано значение user@, которое не является полноценным адресом.",[],0
tricky,"В поле ввода пользователь написал support, не добавив доменную часть.",[],0
tricky,"В системе зафиксирована служебная строка email: ivanov, введенная некорректно.",[],0
tricky,"В заявке указан адрес ivanov@mail, который не прошёл валидацию.",[],0
tricky,"Пользователь попытался указать контакт support@, но форма была отклонена.",[],0
tricky,"В логах зафиксировано значение ivanov@localhost, используемое для тестирования.",[],0
tricky,Для внутренней разработки применяется адрес user@192.168.1.1.,[],0
tricky,"В отчёте указан контакт admin@server, используемый только в тестовой среде.",[],0
tricky,"В системе фигурирует значение test@dev, которое не относится к реальной почте.",[],0
tricky,"В форме регистрации введено client@mail, но адрес оказался неполным.",[],0
tricky,"В конфигурации указан адрес noreply@system, используемый внутри сервиса.",[],0
tricky,В описании услуги упоминается тариф mail.ru premium.,[],0
tricky,"Компания перешла на платформу yandex.ru для бизнеса, без указания почтовых ящиков.",[],0
tricky,"В документации указан сайт company.ru, используемый для регистрации клиентов.",[],0
tricky,"В интерфейсе отображается раздел Gmail настройки, а не конкретный адрес.",[],0
tricky,В рекламном тексте фигурирует бренд Inbox.ru сервисы.,[],0
tricky,"В пользовательском соглашении указано, что для доступа к расширенным функциям необходимо подключить сервис Outlook Enterprise, однако в тексте не приводится ни одного конкретного почтового адреса.",[],0
tricky,"В описании тарифа отмечено, что пакет ProtonMail.ru Secure включает дополнительные механизмы защиты данных, при этом в документации упоминается только название сервиса, без  реальных email-адресов пользователей.",[],0
tricky,В отчёте за 2024 год указано увеличение объёмов поставок.,[],0
tricky,"Сумма по договору составила 123456 рублей, включая все налоги.",[],0
tricky,В форме доставки пользователь указал индекс 101000.,[],0
tricky,"Дата оформления заявки — 12.05.2023, подтверждена системой.",[],0
tricky,"Стоимость заказа составила 45 990 рублей, что отражено в чеке.",[],0
tricky,"В характеристиках товара указан артикул 926123, используемый для склада.",[],0
tricky,В отчёте указан диапазон цен от 1000 до 5000 рублей.,[],0
tricky,"Поставка ожидается 01.09.2024, согласно графику.",[],0
tricky,"В накладной указан индекс 620000, соответствующий региону.",[],0
tricky,Пользователь ввёл значение 12345 в поле количества товара.,[],0
tricky,В документе указана сумма 1 250 000 рублей без НДС.,[],0
tricky,"В описании указан код цвета RAL 9005, а не идентификатор.",[],0
tricky,В форме указан этаж 5 и квартира 12Б.,[],0
tricky,"В тексте указано номер 5578650, относящийся к позиции в списке, а не к идентификатору.",[],0
tricky,"В расписании указан рейс №12968, не являющийся уникальным ID.",[],0
tricky,"В инструкции используется обозначение версии 2.1.3906, а не номер записи.",[],0
tricky,"В отчёте приведён показатель 3:1, отражающий соотношение, а не код.",[],0
tricky,"В документации упоминается стандарт ISO 9001, а не идентификатор объекта.",[],0
tricky,"В таблице указано значение 2024-01, обозначающее период.",[],0
tricky,"В описании используется маркировка Модель 124-ФЗ, не связанная с документом.",[],0
tricky,"В интерфейсе отображается шаг №3867, а не номер заявки.",[],0
tricky,"В отчёте приведён показатель 0.755003, характеризующий коэффициент.",[],0
tricky,"В тексте встречается обозначение статья 15608, относящееся к закону.",[],0
tricky,"В инструкции указан пункт раздел 4.2, не являющийся ID.",[],0
tricky,"В договоре упоминается этап №2, а не отдельный документ.",[],0
tricky,"В отчёте указан диапазон 100–200, описывающий значения параметра.",[],0
tricky,"В спецификации указан тип изделия А-12390775, используемый как классификация.",[],0
tricky,"В тексте фигурирует значение версия 2023.10, обозначающее релиз системы.",[],0
tricky,"В отчёте указано значение партии 784512, которое используется только для внутреннего учёта поставок.",[],0
tricky,"В документации приведён параметр серия 2025823-А, обозначающий тип изделия, а не уникальный идентификатор.",[],0
tricky,"Мы встретились на Тверской, но точный адрес заранее не обсуждали.",[],0
tricky,"Встреча пройдёт в районе Невского проспекта, детали уточним позже.",[],0
tricky,"Он часто бывает на Ленинградском шоссе, потому что там его офис.",[],0
tricky,"Концерт состоится в Крокус Сити Холле, а не в офисном помещении.",[],0
tricky,"Новый магазин открылся в ТЦ Авиапарк, но это не юридический адрес.",[],0
tricky,Вчера гуляли по Красной площади до позднего вечера.,[],0
tricky,Основные события разворачиваются в районе Садового кольца.,[],0
tricky,Компания проводит мероприятие в бизнес-центре Москва-Сити.,[],0
tricky,"Встреча назначена в ЖК Зеленый берег, но квартира не указана.",[],0
tricky,"Он живёт где-то на Парковой, точнее не уточнил.",[],0
tricky,Проект «Невский» получил финансирование в этом году.,[],0
tricky,Компания «Тверская Групп» расширяет своё присутствие на рынке.,[],0
tricky,Завод «Красная площадь» увеличил объёмы производства.,[],0
tricky,ЖК «Северный парк» рекламируется как экологичный комплекс.,[],0
tricky,Ресторан «Лесная 12» оказался очень популярным среди туристов.,[],0
tricky,Компания «Беговая линия» занимается логистикой.,[],0
tricky,Новый стартап «Озерная» привлёк инвестиции.,[],0
tricky,В отчёте упоминается программа «Центральный проспект».,[],0
tricky,Торговая сеть «Парковая» открыла ещё один филиал.,[],0
tricky,"В заявке указано: ул. Лесная, без дополнительных данных.",[],0
tricky,"В анкете записано только г. Самара, без уточнения улицы.",[],0
tricky,"Адрес в системе отображается как д. 10, без города.",[],0
tricky,"В профиле клиента указано: кв. 45, остальная информация отсутствует.",[],0
tricky,"В документах фигурирует пр-кт Победы, но номер дома не указан.",[],0
tricky,"В карточке значится корп. 2, без привязки к улице.",[],0
tricky,"В форме введено значение: этаж 5, что не является полным адресом.",[],0
tricky,"В базе сохранено только пер. Школьный, без города.",[],0
