source,bucket,text,label,n_labels
nerus,LOC_ONLY,"Вице-премьер напомнила, что главные факторы смертности в России — рак и болезни системы кровообращения.",[],0
nerus,ORG_ONLY,"По данным Росстата, в 2017 году от рака умерли 289 тысяч человек.",[],0
nerus,LOC_ONLY,Австрийские правоохранительные органы не представили доказательств нарушения российскими биатлонистами антидопинговых правил.,[],0
nerus,ORG_ONLY,Международный союз биатлонистов (IBU) также не будет применять санкции к российским биатлонистам.,[],0
nerus,LOC_ONLY,Полиция нагрянула в отель сборной России в Хохфильцене вечером 12 декабря.,[],0
nerus,ORG_ONLY,"Сотрудники социальной сети Instagram проанализировали поставленные пользователями смайлики, геолокации и хештеги и опубликовали итоги 2018 года.",[],0
nerus,LOC_ORG,"Таким образом, самой счастливой геолокацией Instagram признал Диснейленд в Токио, так как больше всего счастливых смайликов в 2018 году пользователи ставили именно под фотографиями из японского Диснейленда.",[],0
nerus,ORG_ONLY,В ноябре сотрудники британской ассоциации потребителей Which? составили рейтинг самых безопасных стран для путешествий.,[],0
nerus,LOC_ONLY,Самой безопасной страной по всем параметрам стала Исландия.,[],0
nerus,LOC_ONLY,С начала расследования российского вмешательства в выборы власти США потратили более 25 миллионов долларов.,[],0
nerus,LOC_ONLY,Россию неоднократно обвиняли во вмешательстве в выборы президента США с помощью хакеров.,[],0
nerus,LOC_ORG,"По данным спецслужб США, российская разведка использовала две хакерские группировки для взлома серверов Демократической партии.",[],0
nerus,LOC_ORG,"Хакеры выложили в открытый доступ его паспорт, резюме, а также сведения о его связях с Министерством обороны Великобритании.",[],0
nerus,LOC_ONLY,"В частности, он планировал заминировать Севастопольскую бухту, окружить полуостров войсками, а также уничтожить оставшиеся в Крыму самолеты «в знак серьезности намерений».",[],0
nerus,LOC_ONLY,"«Британская разведка платила собственным агентам за фальшивые доказательства вмешательства России в каталонский референдум, а затем приказала им солгать в парламенте с целью убедить их предпринять антироссийские шаги», — пишут хакеры.",[],0
nerus,LOC_ONLY,"Хакеры утверждают, что этот проект финансируется правительством Великобритании и работает сразу в нескольких странах, в том числе в Германии, Франции, Испании.",[],0
nerus,ORG_ONLY,"Об этом говорится в его письме, выдержки из которого публикует «Страна».",[],0
nerus,LOC_ORG,"«То, что произошло на синоде в Стамбуле, шокировало весь Православный мир», — отметил архиепископ.",[],0
nerus,LOC_ONLY,Церковный раскол на Украине обострился несколько месяцев назад.,[],0
nerus,LOC_ONLY,"Лондон считает, что они были отравлены нервно-паралитическим веществом класса «Новичок».",[],0
nerus,LOC_ONLY,Британские власти обвиняют в причастности к отравлению Россию.,[],0
nerus,ORG_ONLY,"Как передает ТАСС, 14 декабря они покинули государство и полетели на домашнюю базу.",[],0
nerus,LOC_ORG,"Он предоставил Минобороны поддельные документы с подтверждением расходов, согласно которым орудия якобы вывозили на ремонт в Пензу и вернули обратно восстановленными и пригодными к использованию.",[],0
nerus,LOC_ONLY,"В ходе расследования было обнаружено, что обвиняемый использовал похожую схему при выполнении госконтракта на ремонт одного из объектов противоракетной обороны в Московской области.",[],0
nerus,LOC_ONLY,"До 2021 года будет длиться переходный период, во время которого граждан Британии продолжат пускать в ЕС по паспорту, после этого электронная заявка станет обязательной.",[],0
nerus,ORG_ONLY,"Система ETIAS будет действовать для граждан из 61 страны, которые могут находиться в странах Шенгенского соглашения без визы до 90 дней.",[],0
nerus,LOC_ONLY,Евросоюз принял решение ужесточить пограничный контроль в связи с миграционным кризисом и усилением террористической угрозы.,[],0
nerus,LOC_ONLY,"Данные повреждения расцениваются как увечье», — пояснили в прокуратуре Свердловской области.",[],0
nerus,LOC_ONLY,По статье 245 УК РФ («Жестокое обращение с животными») могут наказать по-разному: от штрафов и исправительных работ до лишения свободы на срок от трех до пяти лет.,[],0
nerus,LOC_ORG,"Производитель онлайн-касс «Эвотор» проанализировал данные со своих терминалов, установленных в тысячах продуктовых магазинов по стране, и рассчитал стоимость базового новогоднего стола в разных городах России.",[],0
nerus,LOC_ONLY,"Дороже всего закупка продуктов к Новому году обойдется жителям Якутии, они потратят 447 рублей на человека.",[],0
nerus,LOC_ONLY,"13 декабря стало известно, что в России начали отказываться от традиционного салата оливье на Новый год.",[],0
nerus,LOC_ORG,"«Нафтогаз» пытается получить от российской стороны 2,7 миллиарда долларов — именно столько «Газпром» должен выплатить Украине по решению Стокгольмского арбитража за недопоставку газа по транзиту.",[],0
nerus,ORG_ONLY,"Американская сторона заявляет, что она пыталась повлиять на главных спонсоров Республиканской партии для продвижения российских интересов.",[],0
nerus,LOC_ORG,"Кремль считает все обвинения со стороны США в адрес россиянки необоснованными, а в МИД заявили, что ее подвергали пыткам в тюрьме.",[],0
nerus,ORG_ONLY,Нападающий входит в тройку лучших бомбардиров НХЛ.,[],0
nerus,LOC_ONLY,Первое касалось усиления курдско-арабского конфликта на подконтрольной США территории Сирии восточнее Евфрата.,[],0
nerus,LOC_ORG,"«Все это говорит о нежелании американской стороны к аргументированному и профессиональному диалогу с Россией в интересах разрешения актуальных проблем обеспечения региональной и глобальной безопасности», — заключил представитель Минобороны.",[],0
nerus,LOC_ONLY,"Он заявил, что Вашингтон до сих пор не предоставил Москве разъяснений понятия «приостановка» договора, при этом в реализации соглашения «реально приостанавливать практически нечего».",[],0
nerus,LOC_ONLY,"Он заявил, что Вашингтон приостановит действие договора, а затем начнет процедуру по выходу из него в том случае, если Москва не вернется к установленным условиям соглашения в течение 60 дней.",[],0
nerus,LOC_ONLY,Неизвестные потушили Вечный огонь на Марсовом поле в Санкт-Петербурге.,[],0
nerus,LOC_ONLY,Мемориал на Марсовом поле посвящен жертвам Февральской революции.,[],0
nerus,LOC_ONLY,"Семилетняя девочка из Гватемалы, задержанная вместе с отцом во время прохождения границы США, погибла по пути в центр содержания нелегальных мигрантов.",[],0
nerus,LOC_ONLY,Из-за отсутствия медицинского персонала в Антелоп-Уэллсе ребенок не мог получить помощь на протяжении полутора часов.,[],0
nerus,ORG_ONLY,"Об этом в субботу, 15 декабря, передает РИА Новости.",[],0
nerus,ORG_ONLY,"МОК направил письмо о возврате медалей российским спортсменам, чьи нарушения антидопинговых правил на Олимпийских играх 2014 года были подтверждены Спортивным арбитражным судом (CAS).",[],0
nerus,ORG_ONLY,Пассажира задержали работники службы безопасности и УВД на метрополитене.,[],0
nerus,ORG_ONLY,"По словам представителей компаний-импортеров, проблемы вызваны начавшимся 1 июля переходом на помарочный учет алкоголя, при котором в ЕГАИС вносится информация не о товарной партии, а о каждой бутылке.",[],0
nerus,ORG_ONLY,"Тем не менее, как признаются в индустрии, «Гознак» перестал принимать заявки на них еще 1 октября, а к печати новых акцизов пока не приступил.",[],0
nerus,ORG_ONLY,"Как сообщает РИА Новости, машина ехала по серпантину.",[],0
nerus,ORG_ONLY,"IBU принял решение не применять санкции к российским биатлонистам, заподозренным в допинговых махинациях.",[],0
nerus,ORG_ONLY,"В то же время расследование, проведенное агентством, показало, что первые следы наличия асбеста в продукции J&J были обнаружены еще в 1957-1958 годах.",[],0
nerus,ORG_ONLY,"Присыпка, в настоящее время производимая J&J, может быть безопасной.",[],0
nerus,ORG_ONLY,"В свою очередь, в компании выступили с опровержением результатов расследования, проведенного Reuters.",[],0
nerus,ORG_ONLY,"В корпорацию Johnson&Johnson входит более 250 компаний, которые производят лекарственные препараты, санитарно-гигиенические товары и медицинское оборудование.",[],0
nerus,ORG_ONLY,"Предстоятелем новой украинской православной церкви, в которой объединятся неканонические религиозные структуры, планируют сделать иерарха канонической Украинской православной церкви Московского патриархата (УПЦ МП).",[],0
nerus,ORG_ONLY,"Об этом сообщает «Страна.ua» со ссылкой на источники, знакомые с ситуацией.",[],0
nerus,ORG_ONLY,Большинство участников составляют представители неканонической Украинской православной церкви Киевского патриархата (УПЦ КП).,[],0
nerus,ORG_ONLY,"Об этом в субботу, 15 декабря, сообщает «Интерфакс» со ссылкой на источники в религиозной структуре.",[],0
factrueval2016,LOC_ORG,"Альфа-банк является крупнейшим частным банком России по величине активов, собственного капитала, кредитному портфелю и счетам клиентов.",[],0
factrueval2016,LOC_ONLY,"Для участников акции, которые съезжались туда ещё вечером 21 июня (мемориал расположен в 15 км от Брянска) вновь была организована культурная программа: начиная с полуночи, открылся музей партизанского движения, на оборудованном "" привале'' был организован просмотр патриотических фильмов.",[],0
factrueval2016,LOC_ORG,"как акционерный коммерческий Московский муниципальный банк - Банк Москвы, контрольный пакет акций которого принадлежал правительству Москвы.",[],0
factrueval2016,ORG_ONLY,"О незаконности предстоящего голосования объявили также Верховный избирательный трибунал, Верховный суд и даже часть членов правительства.",[],0
factrueval2016,LOC_ORG,"Французские и малийские военные, в свою очередь, в начале этого года вытеснили экстремистов из крупнейших северных городов, однако НДОА установило в городе Кидаль свое правительство.",[],0
factrueval2016,ORG_ONLY,"Основанием для такого решения Генпрокуратуры послужило присвоение главному столичному следователю звания доцента кафедры уголовного права и криминологии Челябинского госуниверситета, которое произошло, по данным прокуратуры, на основании подложных документов.",[],0
factrueval2016,ORG_ONLY,"Незадолго до своей неудавшейся отставки он говорил "" Ъ'' о том, что собирается проработать в компании еще год.",[],0
factrueval2016,LOC_ORG,"Впрочем, как рассказал "" Ъ'' один из участников той встречи, Россия уступила представителям ближневосточного региона при одном условии: генсеком ФСЭГ должен стать гражданин РФ.",[],0
factrueval2016,LOC_ONLY,"Наиболее серьезное сопротивление силы правопорядка встречают в центре г.Каира на площади Тахрир, которая в результате февральских событий стала символом "" арабской весны'' в республике.",[],0
factrueval2016,LOC_ORG,"Согласно другой информации, обсуждавшейся в СМИ, генералы были несогласны с намерением перевести их из Москвы на службу в другие регионы.",[],0
factrueval2016,LOC_ONLY,"В ноябре 2011 года был принят федеральный закон, обязывающий министерство обороны РФ безвозмездно передавать субъектам РФ и муниципалитетам все недвижимое имущество, не использующееся для нужд обороны.",[],0
factrueval2016,LOC_ORG,"В настоящее время проводится проверка на предмет наличия в действиях должностных лиц Роскосмоса состава преступления, предусмотренного ст.286 УК РФ (превышение должностных полномочий).",[],0
factrueval2016,LOC_ORG,С 1987 года — заведующий договорным отделом Центра научно-технического творчества молодежи МЕНАТЕП при Фрунзенском РК ВЛКСМ Москвы; с 1988 года — заместитель руководителя Центра межотраслевых научно-технических программ.,[],0
factrueval2016,ORG_ONLY,"В результате деятельность "" Донской водной компании'' была вынуждена проверять выездная комиссия Генпрокуратуры.",[],0
factrueval2016,ORG_ONLY,"Долгое время продолжалось противостояние между МВД и КГБ, оно даже выплескивалось на поверхность в виде различных скандалов, громких уголовных дел.",[],0
factrueval2016,ORG_ONLY,"совместно с другими участниками преступной организации совершил хищение денежных средств дочерних компаний ОАО "" Совкомфлот'' , а также ОАО "" Новороссийское морское пароходство''(ОАО "" Новошип'') и его дочерних компаний.",[],0
factrueval2016,ORG_ONLY,"В конце января комиссия под его руководством выявила "" поточное производство'' фиктивных диссертаций в Московском государственном педагогическом университете.",[],0
factrueval2016,LOC_ONLY,В задачи директора по внешним связям входит организация медиа-событий и ознакомление общественности с повесткой дня Белого дома.,[],0
factrueval2016,LOC_ONLY,"Во-вторых, из-за длительных противоречий вокруг североирландского конфликта (администрация США неоднократно заявляла о поддержке католического ирландского населения вопреки позициям Лондона), британцы не склонны к глубокому сотрудничеству в судебной и пенитенциарной сферах с США.",[],0
factrueval2016,LOC_ONLY,"Таким образом, на следующей неделе во главе правительства Японии встанет шестой премьер за последние пять лет (по законодательству, срок полномочий главы правительства составляет 4 года).",[],0
factrueval2016,LOC_ONLY,"Экс-губернатора Санкт-Петербурга уличили в том, что она сообщила о выдвижении своей кандидатуры после завершения регистрации кандидатов, то есть фактически выборы были назначены "" тайно''.",[],0
factrueval2016,ORG_ONLY,"Сейчас он является главой компании бизнес-авиации NetJets, а также энергохолдинга MidAmerican Energy.",[],0
factrueval2016,ORG_ONLY,"Главе государства также доложено о том, что стороны нашли понимание по проблемным вопросам, которые стояли на повестке дня работы БКК, и не позднее 1 апреля 2014 года будут приняты все решения, которые необходимы для повышения эффективности деятельности БКК''.",[],0
factrueval2016,LOC_ONLY,были возбуждены уголовные дела по ч.4 ст.290 Уголовного кодекса РФ (получение взятки в крупном размере).,[],0
factrueval2016,LOC_ONLY,"В законодательное собрание Чукотки, напомнили представители избиркома, избираются 12 депутатов - шесть по Западному и Восточному трехмандатным округам, а еще шесть по единому избирательному округу (партийным спискам).",[],0
factrueval2016,LOC_ONLY,"Как сообщает пресс-служба Кремля, губернатор отправлен в отставку с формулировкой "" по собственному желанию''.",[],0
factrueval2016,ORG_ONLY,"Если Apple примет новое приложение Google в свой онлайн-магазин, то оно будет напрямую конкурировать с собственными картами компании.",[],0
factrueval2016,ORG_ONLY,""" Русская служба новостей'' — информационная система, представляющая собой FM-радиостанцию, информационное агентство и новостную сеть "" Русского радио''.",[],0
factrueval2016,ORG_ONLY,"Среди других причин, по которым глава военного ведомства мог покинуть свой пост, называется то обстоятельство, что возглавляемая им партия "" Ацмаут'' теряет популярность и, согласно недавним соцопросам, скорее всего не сможет пройти в парламент на грядущих выборах.",[],0
factrueval2016,ORG_ONLY,"Задачу вновь назначенного менеджмента ОНЭКСИМ видит в придании нового импульса реализации стратегии РБК, утвержденной советом директоров, и повышении операционной эффективности всех проектов компании.",[],0
factrueval2016,ORG_ONLY,"Поэтому лидеры социал-демократии предупреждают, что члены партии, согласившиеся на посты в техническом правительстве, должны покинуть ряды ЧСДП.",[],0
factrueval2016,ORG_ONLY,"Представители регулятора уже не раз говорили, что туда могут войти не только банки, но и две инфраструктурные организации — Национальный расчетный депозитарий (НРД) и Национальный клиринговый центр (НКЦ).",[],0
factrueval2016,ORG_ONLY,"С 17 января 2011 года основатель Apple находился на больничном по причинам, о которых не сообщалось официально.",[],0
factrueval2016,LOC_ONLY,"В декабре 2012 года сообщалось, что власти Астраханской области в связи с выявленными случаями ношения хиджаба в школах рекомендуют муниципальным властям ввести в учебных заведениях дресс-код или форму.",[],0
factrueval2016,ORG_ONLY,"Руководство движения "" За права человека'' считает действия полиции незаконными и заявляет, что имел место рейдерский захват.",[],0
factrueval2016,ORG_ONLY,"На сайте "" Сколково'' сказано, что задача школы в том, чтобы создать школу-лидера в мировом бизнес-образовании.",[],0
factrueval2016,LOC_ONLY,Вечером 10 января в городе Кветта в пакистанской провинции Белуджистан террорист-смертник взорвался внутри бильярдного клуба.,[],0
factrueval2016,ORG_ONLY,"Ранее коалиция Социал-либерального союза (СЛС), партия, которую возглавляет премьер-министр, уволила спикеров обеих палат парламента, а также омбудсмена, угрожая уволить судей Конституционного суда.",[],0
factrueval2016,ORG_ONLY,"В пресс-службе Главного управления МВД утверждают, что речь идет всего лишь о разрешении спора двух хозяйствующих субъектов.",[],0
factrueval2016,ORG_ONLY,"Однако, у главы Apple оказалась очень редкая форма заболевания, которую можно вылечить с помощью операции.",[],0
factrueval2016,ORG_ONLY,"Первоочередные меры, направленные на снижение уровня аварийности на тамбовских дорогах, рассмотрены на расширенном заседании межведомственной комиссии по обеспечению безопасности дорожного, пишет "" Тамбовская жизнь''.",[],0
factrueval2016,LOC_ONLY,"Строительство подводной части "" Южного потока'' (около 900 километров по дну Черного моря) планируется начать уже во втором квартале 2014 года.",[],0
factrueval2016,LOC_ONLY,"он готов оставаться в небольшой комнате посольства Эквадора в Лондоне, не имея физической свободы перемещения, но при этом быть на связи со всем внешним миром и продолжать свою работу.",[],0
factrueval2016,ORG_ONLY,"Цель МБРР - сокращение масштабов бедности в странах со средним уровнем дохода и в кредитоспособных странах с низким уровнем дохода, в то время как внимание МАР сосредоточено на беднейших странах мира.",[],0
factrueval2016,ORG_ONLY,"По некоторым данным, такое решение объясняется материалами и иллюстрациями в последнем номере журнала, посвященном итогам выборов в Государственную думу.",[],0
